start date,name,sport type,distance (meters),moving time (seconds),elapsed time (seconds),total elevation gain (meters),average speed (meters/second),max speed (meters/second),average watts (watts),max watts (watts),average heartrate (bpm),max heartrate (bpm),kilojoules (kJ),elev high (meters),elev low (meters),timezone,achievement count,kudos count,athlete count
2024-06-07T10:22:37Z,Morning Ride,Ride,0.0,3091,3091,0.0,0.0,0.0,,,149.4,187.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,0,1
2024-06-06T10:02:36Z,Morning Run,Run,10754.8,2990,3051,27.8,3.597,5.472,,,142.4,154.0,,7.4,1.4,(GMT-05:00) America/New_York,4,0,1
2024-06-04T10:30:25Z,Morning Row,Rowing,0.0,4510,4510,0.0,0.0,0.0,,,149.1,175.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,0,1
2024-06-03T10:42:24Z,Morning Row,Rowing,0.0,4077,4077,0.0,0.0,0.0,,,156.5,176.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,0,1
2024-06-01T17:38:59Z,Afternoon Run,Run,9089.4,2662,2740,46.8,3.414,5.892,,,136.2,165.0,,29.8,2.2,(GMT-05:00) America/New_York,3,0,1
2024-05-28T12:30:31Z,Morning Ride,Ride,14929.0,5788,5919,51.8,2.579,6.35,54.9,,140.7,182.0,318.0,4.0,-1.8,(GMT-05:00) America/New_York,0,0,1
2024-05-27T20:50:34Z,Afternoon Row,Rowing,0.0,3312,3312,0.0,0.0,0.0,,,154.1,165.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,0,1
2024-05-27T12:27:58Z,Morning Ride,Ride,14114.0,5732,6192,55.0,2.462,6.108,55.9,,147.2,182.0,320.2,7.8,-0.4,(GMT-05:00) America/New_York,0,0,1
2024-05-26T12:24:28Z,Morning Row,Rowing,0.0,3340,3340,0.0,0.0,0.0,,,159.0,174.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,0,1
2024-05-25T20:23:16Z,Afternoon Run,Run,9151.8,2464,3270,64.6,3.714,5.31,,,140.6,169.0,,11.0,0.0,(GMT-05:00) America/New_York,23,0,1
2024-05-06T20:38:26Z,Afternoon Ride,Ride,6676.3,2768,2844,33.0,2.412,5.246,54.6,,118.8,168.0,151.1,4.8,-3.8,(GMT-05:00) America/New_York,2,0,1
2024-05-04T12:43:36Z,RP3 Intz,Rowing,0.0,2293,2293,0.0,0.0,0.0,,,150.2,182.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,5,1
2024-05-04T12:21:44Z,Morning Row,Rowing,0.0,1104,1104,0.0,0.0,0.0,,,145.6,170.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,0,1
2024-05-03T19:57:23Z,Afternoon Row,Rowing,0.0,2142,2142,0.0,0.0,0.0,,,159.4,173.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,0,1
2024-05-03T18:33:29Z,Afternoon Ride,Ride,9729.0,3827,3952,35.0,2.542,5.104,50.8,,111.7,146.0,194.3,3.6,-3.8,(GMT-05:00) America/New_York,2,0,1
2024-05-02T11:27:28Z,Morning RP3,Rowing,0.0,3786,3786,0.0,0.0,0.0,,,144.3,160.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,8,1
2024-05-01T11:31:00Z,Morning Intz,Rowing,15170.4,5696,5867,53.0,2.663,7.5,,,130.3,176.0,,4.8,-4.4,(GMT-05:00) America/New_York,1,7,1
2024-04-30T12:09:32Z,Morning Row,Rowing,17009.8,4889,4938,35.2,3.479,6.14,,,148.6,181.0,,4.8,-1.4,(GMT-05:00) America/New_York,5,10,2
2024-04-29T12:41:34Z,Morning Row,Rowing,11616.9,3896,3929,39.2,2.982,6.44,,,139.3,170.0,,7.2,-1.4,(GMT-05:00) America/New_York,7,7,1
2024-04-27T12:08:36Z,Adams Cup,Rowing,1951.8,394,394,0.0,4.954,5.78,,,174.0,178.0,,2.4,0.8,(GMT-05:00) America/New_York,0,7,1
2024-04-27T11:22:11Z,Morning Ride,Ride,6109.7,2180,2213,32.0,2.803,6.106,57.5,,139.2,178.0,125.4,2.8,-26.4,(GMT-05:00) America/New_York,0,0,1
2024-04-26T21:33:29Z,Afternoon Race Prep,Rowing,9686.1,3504,3543,13.4,2.764,6.04,,,125.9,172.0,,1.6,-6.8,(GMT-05:00) America/New_York,0,8,2
2024-04-25T20:01:52Z,Afternoon Run,Run,4734.1,1561,1561,43.4,3.033,5.048,,,126.7,139.0,,11.4,-0.2,(GMT-05:00) America/New_York,0,0,1
2024-04-24T10:47:37Z,RP3 Steady State,Rowing,0.0,3911,3911,0.0,0.0,0.0,,,156.5,172.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,7,1
2024-04-23T11:43:54Z,Morning Intz,Rowing,0.0,2450,2450,0.0,0.0,0.0,,,162.9,183.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,7,1
2024-04-22T21:30:08Z,Afternoon Run,Run,10479.6,2998,3038,81.4,3.496,4.804,,,136.6,152.0,,16.6,-0.2,(GMT-05:00) America/New_York,12,11,1
2024-04-22T12:01:04Z,Morning Row,Rowing,0.0,1722,1722,0.0,0.0,0.0,,,147.4,167.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,0,1
2024-04-22T11:24:04Z,Morning Row,Rowing,0.0,1982,1982,0.0,0.0,0.0,,,163.1,178.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,0,1
2024-04-20T18:59:31Z,RP3 intz,Rowing,0.0,4894,4894,0.0,0.0,0.0,,,158.4,183.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,8,1
2024-04-19T11:15:22Z,RP3 Steady State,Rowing,0.0,4371,4371,0.0,0.0,0.0,,,173.5,184.0,,0.0,0.0,(GMT-04:00) America/Anguilla,0,10,1
2024-04-18T11:44:58Z,Morning Row,Rowing,13900.6,4735,4735,36.8,2.936,6.18,,,143.9,177.0,,7.0,-0.4,(GMT-05:00) America/New_York,2,11,2
